店铺名称,店铺地址,种类,平均消费价格,店铺评分,评价人数,地区
呷哺呷哺（新中关购物中心店）,海淀区中关村新中关购物中心地下一层,小火锅,49.0,4.4,504,中关村
董大爷涮肉（茉莉园店）,海淀区西北旺四街,老北京火锅,97.0,4.3,1530,西北旺
大脑袋涮肉·清真（西客站店）,海淀区北蜂窝105号大天元饭店一层,老北京火锅,95.0,4.6,75,北京西站/六里桥
呷哺呷哺（翠微牡丹园店）,海淀区花园路2号翠微大厦牡丹园店三层,小火锅,57.0,4.5,382,牡丹园/北太平庄
葫芦娃一家人火锅（五道口店）,海淀区北京市海淀区成府路28号五道口购物中心4层,四川火锅,133.0,4.2,50,五道口
葫芦花牛板筋火锅（五道口店）,海淀区北京市海淀区成府路蓝旗营134号南面－7号蓝旗营公交站南边10米,四川火锅,54.0,4.8,96,中关村
呷哺呷哺（莲花桥悦邻广场店）,丰台区吴家场路1号悦邻百姓生活服务广场一层,小火锅,56.0,4.9,204,公主坟/万寿路
巴蜀王婆大虾（温泉店）,海淀区白家疃路,海鲜火锅,78.0,4.9,235,海淀区
辣爷重庆老火锅（唐家岭店）,海淀区西北旺镇唐家岭新城6号商业楼一层109室、二层209室,重庆火锅,120.0,4.2,45,西北旺
摸错门牛肚火锅 （双安店）,海淀区北三环西路甲30号双天大厦2层（近双安商场东侧）,四川火锅,73.0,4.5,814,双榆树
呷哺呷哺（五道口华联店）,海淀区五道口华联商厦地下一层,小火锅,48.0,4.5,523,五道口
蜀娃子火锅（苏家坨店）,海淀区前沙涧7号院旁（908前沙涧村站）,川味火锅,60.0,4.3,0,海淀区
攀成钢小郡肝串串香（魏公村店）,海淀区魏公街16号（近北京外国语大学）,串串香,89.0,4.4,211,魏公村
呷哺呷哺（印象城店）,海淀区翠微路12号印象城购物中心B1层,小火锅,57.0,4.3,239,公主坟/万寿路
阳坊大都涮羊肉（定慧寺店）,海淀区阜成路定慧北里23号蓝宏中心东侧（三样菜东侧）,老北京火锅,80.0,4.8,1839,五棵松
蜀香龙门川味火锅（四道口旗舰店）,海淀区学院南路50号哇沃生活广场2层（明光桥西500米）,川味火锅,107.0,4.7,182,北下关
呷哺呷哺（甘家口店）,海淀区甘家口商场六层,小火锅,48.0,4.6,490,甘家口百货
阳坊胜利涮羊肉（悦界店）,海淀区永润路悦界主题街区c2-205,老北京火锅,96.0,5.0,36,上庄
小木船潮汕牛肉火锅（西二旗店）,海淀区西二旗大街39号1层39-7-118室,潮汕牛肉火锅,0.0,4.3,58,上地
宫府重庆老火锅,海淀区上庄镇上庄村上庄路上庄南口车站旁,重庆火锅,95.0,3.8,76,上庄
一品居涮肉坊（北蜂窝路店）,海淀区北蜂窝路乙15号平房,老北京火锅,76.0,4.7,1005,公主坟/万寿路
海底捞火锅（清河万象汇店）,海淀区清河中街66号院1号楼清河万象汇东区6层,四川火锅,114.0,4.8,46,清河
